abr	nom	indic	lon	lat
AMB	AMBERIEU	1089001	5,329	45,977
VIC	VICHY	3060001	3,399	46,167
STA	SAINT-AUBAN	4049001	5,989	44,062
EMB	EMBRUN	5046001	6,503	44,566
NIC	NICE	6088001	7,209	43,649
CHL	CHARLEVILLE	8105005	4,644	49,783
STG	ST GIRONS	9289001	1,107	43,005
TRO	TROYES	10030001	4,02	48,325
MIL	MILLAU	12145001	3,02	44,118
MAR	MARIGNANE	13054001	5,226	43,441
CAE	CAEN	14137001	-0,456	49,18
AUR	AURILLAC	15014004	2,421	44,899
COG	COGNAC	16089001	-0,315	45,665
LAR	LA ROCHELLE	17300001	-1,159	46,152
BOU	BOURGES	18033001	2,36	47,059
BRI	BRIVE	19031008	1,474	45,148
DIJ	DIJON	21473001	5,088	47,267
STB	ST BRIEUC	22372001	-2,854	48,536
GUE	GUERET	23096007	1,867	46,16
BER	BERGERAC	24037005	0,516	44,821
BES	BESANCON	25056001	5,989	47,249
MON	MONTELIMAR	26198001	4,733	44,582
EVR	EVREUX	27347001	1,222	49,025
CHA	CHARTRES	28070001	1,501	48,461
BRE	BREST	29075001	-4,412	48,444
NIM	NIMES	30189001	4,406	43,857
TLS	TOULOUSE	31069001	1,378	43,621
AUC	AUCH	32013005	0,602	43,69
BOR	BORDEAUX	33281001	-0,692	44,831
MTP	MONTPELLIER	34154001	3,963	43,577
REN	RENNES	35281001	-1,734	48,069
CTX	CHATEAUROUX	36063001	1,721	46,86
TRS	TOURS	37179001	0,728	47,445
GRE	GRENOBLE	38384001	5,314	45,364
LLS	LONS LE SAUNIER	39362001	5,511	46,688
MDM	MONT-DE-MARSAN	40192001	-0,499	43,912
ROM	ROMORANTIN	41097001	1,688	47,32
STE	ST ETIENNE	42005001	4,293	45,533
LEP	LE PUY	43062001	3,764	45,074
NAN	NANTES	44020001	-1,608	47,15
ORL	ORLEANS	45055001	1,777	47,983
GOU	GOURDON	46127001	1,396	44,745
AGE	AGEN	47091001	0,594	44,172
MEN	MENDE	48030001	3,53	44,505
BEA	BEAUCOUZE	49020001	-0,614	47,479
REI	REIMS	51183001	4,034	49,3
LAN	LANGRES	52269001	5,337	47,844
LAV	LAVAL	53094001	-0,739	48,032
NCY	NANCY	54526001	6,221	48,688
MET	METZ	57039001	6,126	49,073
NEV	NEVERS	58160001	3,113	46,998
LIL	LILLE	59343001	3,098	50,57
BVS	BEAUVAIS	60639001	2,128	49,447
ALE	ALENCON	61001001	0,11	48,446
BSM	BOULOGNE	62160001	1,6	50,733
CFD	CLERMONT-FD	63113001	3,15	45,787
PAU	PAU	64549001	-0,417	43,385
TAR	TARBES	65344001	-0,005	43,187
PER	PERPIGNAN	66136001	2,873	42,737
STR	STRASBOURG	67124001	7,641	48,549
BAL	BALE-MULHOUSE	68297001	7,51	47,614
LYO	LYON	69029001	4,938	45,726
LUX	LUXEUIL	70473001	6,364	47,787
MAC	MACON	71105001	4,8	46,296
LEM	LE MANS	72181001	0,194	47,946
CHX	CHAMONIX	74056001	6,878	45,929
PAR	PARIS-MONTSOURIS	75114001	2,337	48,822
ROU	ROUEN	76116001	1,181	49,383
MEL	MELUN	77306001	2,68	48,61
TRA	TRAPPES	78621001	2,01	48,774
NIO	NIORT	79191005	-0,4	46,315
ABB	ABBEVILLE	80001001	1,839	50,137
ALB	ALBI	81284001	2,117	43,915
MTB	MONTAUBAN	82121002	1,377	44,028
TOU	TOULON	83137001	5,931	43,104
ORA	ORANGE	84087001	4,852	44,14
LRY	LA ROCHE SUR YON	85191003	-1,379	46,7
POI	POITIERS	86027001	0,314	46,594
LIM	LIMOGES	87085006	1,174	45,861
EPI	EPINAL	88136001	6,451	48,211
AUX	AUXERRE	89346001	3,545	47,801
BEL	BELFORT	90010001	6,877	47,629
ORY	ORLY	91027002	2,385	48,716
